,20,40,80,psk
0,0.45,0.275,0.025,2.0
1,0.75,0.5108695652173914,0.2222222222222222,2.2222222222222223
2,0.8653846153846154,0.5399999999999999,0.5408163265306123,2.4444444444444446
3,0.9285714285714286,0.6851851851851852,0.6944444444444444,2.6666666666666665
4,0.95,0.7327586206896552,0.8103448275862069,2.888888888888889
5,0.96875,0.8984375,0.8928571428571428,3.111111111111111
6,1.0,0.9558823529411764,0.9104477611940298,3.333333333333333
7,0.9305555555555556,0.9583333333333333,0.9201388888888888,3.5555555555555554
8,0.9736842105263157,0.9736842105263158,0.9177631578947367,3.7777777777777777
9,0.975,0.975,0.9312499999999999,4.0
