,ER,RR,SF,psk
0,0.0,0.0,0.0,0.0
1,0.0002,0.0004,0.0018000000000000002,0.1
2,0.0006000000000000001,0.0004,0.003,0.2
3,6.666666666666667e-05,0.0003333333333333333,0.007333333333333335,0.30000000000000004
4,0.00030000000000000003,0.0002,0.08885,0.4
5,0.00016,0.00024000000000000003,0.41696,0.5
6,0.2780406531156281,0.8412195934688438,0.6890036654448518,0.6000000000000001
7,0.7998286203941731,0.9757783490431304,0.8487289345901171,0.7000000000000001
8,0.8846288427893028,0.996550862284429,0.9412396900774805,0.8
9,0.931015329926683,0.9997333925794267,0.989980004443457,0.9
10,0.95724,1.0,1.0,1.0
